name,lat,lng, imp
Västanå – Flickorna flög,56.195533,14.467841,
Västanå – Soria Moria,56.19764,14.465549,
Parking – Hypnos,56.191927,14.487527,
Västanå – Hypnos,56.192336,14.489412,
Parking – Sibbarp,56.19431,14.49,
Västanå – Cassiopeia,56.193062,14.493577,
Västanå – Stäppvargen,56.19485,14.486742,1
Västanå – Plågoanden,56.194103,14.486551,
Parking 1 – Hultastenen,56.1407778,13.992524,
Parking 2 – Hultastenen,56.1416732,13.9947542,
Hultastenen,56.14109,13.99198,1
Hultastenen – Copperfield,56.141096,13.991046,
Hultastenen – Alfons,56.1423,13.9924599999999,
Hultastenen – Enok,56.13784,13.999,
Hultastenen – Pressad,56.137183,14.002484,
Hultastenen – Glömda stenarna,56.13705,14.00323,
Hultastenen – Glömsk,56.136137,14.003134,
Hultastenen – Skogen,56.1361676,13.9977819,
Hultastenen – Jaktblocket,56.13514,13.99535,
Hultastenen – Djupa skogen,56.13251,13.99388,
Parking – Norra Strö,56.0978,14.04697,
Färlöv – Norra Strö,56.09802,14.04719,1
Färlöv – Grönlandsvax,56.096815,14.046863,
Parking – Spårblocket,56.074628,14.087404,
Färlöv – Spårblocket,56.080658,14.08914,
Parking – Färlövsblocket,56.0697458,14.0921945,
Färlöv – Färlövsblocket,56.06977,14.09303,
Torsebro – Ebbetorpsstenen,56.096706,14.130101,
Parking – Projektstenen,56.103769,14.129706,
Torsebro – Projektstenen,56.10366,14.13055,
Torsebro – Tres Mosqueteros,56.103416,14.132322,
Torsebro – Vägsva,56.1052386,14.1342001,
Parking – Torsebro,56.1077593,14.1344963,
Torsebro – Barfotabarn,56.10963,14.13301,
Torsebro – Underhuggaren,56.11009,14.132637,
Torsebro – Sockerbiten,56.11296,14.13739,1
Torsebro – Tung kulspruta,56.113728,14.13744,
Torsebro – Divina Commedia,56.11366,14.139878,
Torsebro – Dramaten,56.11396,14.13995,
Torsebro – I'm not so pig,56.11355,14.140825,
Torsebro – Nightcrawler,56.11245,14.1434400000001,
Torsebro – Creme de la creme,56.11436,14.141444,
Torsebro – Påväg,56.11491,14.140123,
Torsebro – Amerikanerblocket,56.11517,14.14127,
Torsebro – Karaktär,56.115562,14.141455,
Torsebro – Stubben,56.11581,14.142096,
Torsebro – Kontinentalblocket,56.1159858,14.1413356,1
Torsebro – Sekten,56.115993,14.14111,
Parking – Balsberget,56.104717,14.187272,
Balsberget – Balsam,56.101517,14.208636,
Balsberget – Myggblocket,56.099261,14.208201,
Balsberget – Grävlingsblocken,56.098149,14.208735,
Balsberget – Lagom morfo,56.094914,14.204825,
Parking – Bockastenarna,56.062229,14.277257,
Fjälkinge – Bockastenarna,56.063208,14.283652,
Parking – Lillis backe,56.04877,14.29675,
Fjälkinge – Hagen,56.04992,14.3,
Fjälkinge – Svaväggen,56.049153,14.302367,
Fjälkinge – Tempelväggen,56.04846,14.3031,
Fjälkinge – Lillis backe,56.048225,14.30494,
Fjälkinge – Analys,56.0481058,14.3053661,
Parking – Gullyckeskär,56.14749,14.3342299999999,
Gullyckeskär – Dragahall,56.150472,14.346056,
Gullyckeskär – Royal,56.146178,14.335216,
Gullyckeskär – Kungasalen,56.1458191,14.3355753,1
Gullyckeskär – Bakre blocken,56.14587,14.335739,
Gullyckeskär – Johans sva,56.146301,14.336478,
Gullyckeskär – Stenbrottet,56.146185,14.33926,
Gullyckeskär – Trögmod,56.144784,14.338982,
Gullyckeskär – Knölen,56.144882,14.339239,
Gullyckeskär – Ehmanns Prow,56.144262,14.338743,
Parking – Oppmannaberget,56.13447,14.3437300000001,
Oppmannaberget – Stora väggen,56.1382375,14.3478854,
Oppmannaberget – Ensamma blocket,56.135304,14.348125,
Oppmannaberget – Lilla väggen,56.13444,14.3494499999999,
Oppmannaberget – Jutmanberget,56.133707,14.350818,
Parking – Kädarp,56.12913,14.3534099999999,
Oppmannaberget – Töcknet,56.13126,14.3506600000001,
Oppmannaberget – Grönsak,56.131678,14.350654,
Oppmannaberget – Svampen,56.131952,14.351651,
Oppmannaberget – Projektväggen,56.132105,14.351651,
Oppmannaberget – X-Bloc,56.132255,14.351748,
Oppmannaberget – Bullseye,56.13236,14.35218,1
Parking 1 – Östra Ivö,56.12518,14.41773,
Parking 2 – Östra Ivö,56.1384344,14.399618,
Östra Ivö – Skallet på Ivö,56.127438,14.415264,
Östra Ivö – Helvetet brinner i mig,56.13059,14.41473,
Östra Ivö – Vattenväggen,56.131,14.41378,
Östra Ivö – Spetsbouldern,56.13191,14.41349,
Östra Ivö – Ithaka,56.13227,14.41504,
Östra Ivö – Musik,56.13255,14.41417,1
Östra Ivö – Lille Bo,56.13273,14.41404,
Östra Ivö – Äggfarmen,56.13359,14.41335,
Östra Ivö – Solkatten,56.13384,14.4119900000001,
Östra Ivö – Mitten,56.13423,14.41313,
Östra Ivö – Mannen som sålde Världen,56.13441,14.4123,
Östra Ivö – Östanvinden,56.13435,14.41206,
Östra Ivö – Havsdraken,56.134353,14.411423,
Östra Ivö – Första svaet,56.13511,14.4128,
Östra Ivö – Baboushka,56.13542,14.41281,
Östra Ivö – Mellan blocket,56.135807,14.412943,
Östra Ivö – Skallerorm,56.136128,14.412852,
Östra Ivö – Tunna Linjen,56.13637,14.41232,
Östra Ivö – Vågen,56.135907,14.410444,
Östra Ivö – Röda väggen,56.136697,14.410156,
Östra Ivö – Karna,56.13707,14.41115,
Östra Ivö – Ägget,56.137732,14.410829,
Östra Ivö – Sjösidan,56.13813,14.410945,
Östra Ivö – Lagrad,56.138927,14.409883,
Östra Ivö – Mister Plister,56.138887,14.403783,
Parking – Vårlöfte,56.153068,14.513035,
Panshamn – Vårlöfte,56.152108,14.512473,
Parking – Cykelstigen,56.153702,14.5171,
Panshamn – Cykelstigen,56.150675,14.518719,
Parking – Panshamn,56.1363,14.51807,
Panshamn – Tengo,56.1379916,14.5144318,1
Panshamn – SlavTrav,56.137756,14.513811,
Panshamn – Sakigake,56.138165,14.513552,
Panshamn – Hyllad,56.1383575,14.5127722,
Panshamn – Trickster,56.13818,14.511613,
Panshamn – Gläntan,56.137884,14.511968,
Panshamn – Skattjakt,56.13765,14.5104200000001,1
Panshamn – Kratern,56.137435,14.510318,
Panshamn – Utom synhåll,56.137153,14.511245,
Panshamn – Sorgmantel,56.136662,14.511438,
Panshamn – Mariabronn,56.136531,14.511972,
Panshamn – Mr Vandemar,56.136643,14.512737,
Panshamn – Marquis de Carabas,56.136825,14.513511,
Panshamn – Sist men inte minst,56.137386,14.513078,
Panshamn – Myrornas rike,56.136295,14.511951,
Panshamn – Green groove,56.135921,14.513016,
Panshamn – Goldmund und Narcissus,56.135683,14.513251,
Panshamn – Pråmen,56.135704,14.511955,
Panshamn – Glassa o Greppa,56.135415,14.511836,
Panshamn – Supination,56.135238,14.512159,
"Panshamn – Sol Vind och Vatten,56.134865,14.511736,
Panshamn – Missade blocket,56.134708,14.514394,
Panshamn – Gränslandet,56.13404,14.51612,
Parking – Elgatan,56.13237,14.52387,
Leingaryd – Flaggskepp,56.129589,14.527418,
Leingaryd – Lill Bubblaren,56.129432,14.525702,
Leingaryd – Bläcksvart,56.12919,14.525888,
Leingaryd – Elgatan,56.128925,14.526316,
Leingaryd – Kungen i diket,56.1287197,14.5258211,
Leingaryd – Kamouflage,56.128517,14.525949,
Leingaryd – Helvetet i en ask,56.127539,14.524768,
Parking – Ekorrväggen,56.13363,14.54195,
Leingaryd – Ekorrväggen,56.12972,14.53891,
Parking – BoulderHunter,56.130232,14.516772,
Allarp – Blanco,56.126035,14.504361,
Allarp – BoulderHunter,56.125858,14.501999,
Parking – Skogsblocken,56.117053,14.51387,
Allarp – Skogsblocken,56.11592,14.51399,
Parking 1 – Center,56.116212,14.508869,
Parking 2 – Center,56.1147735,14.510264,
"Allarp – Mellersta höjden,56.117082,14.510107,
Allarp – Hemliga stället,56.11461,14.50914,
Allarp – Schack,56.115106,14.510566,
Allarp – Stora blocket,56.11524,14.5143,1
Allarp – Vägblocken,56.11465,14.51539,
Parking – Kaoset/Sjöblocken,56.11716,14.50386,
Allarp – Gravsten,56.116924,14.503956,
Allarp – Sjöblocken,56.11599,14.50602,
Allarp – Bonus,56.120068,14.502651,
Allarp – Trandansen,56.119654,14.50084,
Allarp – Kaoset,56.11957,14.50066,
Allarp – Glashalt,56.119523,14.501242,
Parking – Skölden,56.12116,14.5183,
Allarp – Skölden,56.12303,14.5208299999999,
Allarp – Tunneln,56.12245,14.52003,
Parking – Minimalist,56.11837,14.52185,
Allarp – Minimalist,56.11797,14.52325,1
Parking – Cykelgubbe,56.117222,14.526227,
Allarp – Skymningsblocket,56.117085,14.528138,
Allarp – Cykelgubbe,56.117969,14.529736,
Parking – Tombola,56.116247,14.529728,
Allarp – Tombola,56.116127,14.530877,
Allarp – Luna,56.116928,14.53074,
Parking – Skogsknark,56.111404,14.536499,
Allarp – Skogsknark,56.115472,14.538193,
Allarp – Allt eller inget,56.116684,14.539396,
Allarp – Gömda blocket,56.116389,14.524167,
Allarp – Smedjeprowen,56.119167,14.529694,
Parking – Långt bort,56.103688,14.5441896,
Paradiset – Långt bort,56.1052,14.54443,
Parking – Paradiset,56.09476,14.5506399999999,
Paradiset – Cold Steel,56.09943,14.55363,1
Paradiset – Fridge,56.099634,14.555182,
Paradiset – Kaboom,56.09772,14.5574300000001,
Paradiset – Skogssjöarna,56.096963,14.558102,
Paradiset – Ena och andra sidan,56.097039,14.555235,
Parking – Långa väggen,56.09082,14.5555400000001,
Paradiset – Lyckans väg,56.09352,14.56443,
Paradiset – Nyturssyndromet,56.09999,14.56506,
Paradiset – Långa väggen,56.10514,14.57209,
Parking – Valje,56.0656369,14.5467105,
Valje – Snoken,56.06582,14.546961,
Valje – Valje Nöje,56.0655783,14.5475451,1
Valje – Svablocket,56.065605,14.547746,
Valje – Flaskpost,56.06566,14.547914,
Valje – Rackarens rökare,56.065445,14.547729,
Parking – Valjeviken,56.056534,14.56028,
Valje – Valjeviken,56.05533,14.555924,
Hanö – Norra Hanö,56.016758,14.839839,
Hanö – Tobbes Hook,56.01612,14.84123,
Hanö – Havet,56.01662,14.8485900000001,
Hanö – Valrossen,56.01562,14.85049,
Hanö – Ensamma sprickan,56.015401,14.846,
Hanö – Retro-pionjär,56.015421,14.84629,
Hanö – Snår,56.014831,14.847931,
Hanö – Märkt för livet,56.01433,14.846834,
Hanö – Drakgrottan,56.01406,14.84759,1
Hanö – Lippen,56.01351,14.8487299999999,
Hanö – Überhänget,56.012267,14.848894,
Hanö – Ruths sten,56.011255,14.849382,
Hanö – Rävshallarna,56.00714,14.85324,
Hanö – Strandsatt,56.00693,14.8568299999999,
Parking – Bäckasjö,56.33177,14.43444,
Olofström – Bäckasjö,56.33101,14.43655,1
Parking – Stena Linjen,56.2978206,14.477927,
Olofström – Stena Linjen,56.29838,14.4775,
Parking – Nytebodavägen,56.294691,14.4803489999999,
Olofström – Burk,56.2948863,14.4819445,
Olofström – Road prow,56.2934243,14.4831705,
Parking – Maktdriften,56.288448,14.480461,
Olofström – Maktdriften,56.2885132992826,14.4812328954432,
